CREDIT_REQUEST_ID,CREDIT_AMOUNT,CREDIT_DURATION,PURPOSE,INSTALLMENT_COMMITMENT,OTHER_PARTIES,CREDIT_STANDING,CREDIT_SCORE,CHECKING_BALANCE,SAVINGS_BALANCE,EXISTING_CREDITS,ASSETS,HOUSING,QUALIFICATION,JOB_HISTORY,AGE,SEX,MARITAL_STATUS,NUM_DEPENDENTS,RESIDENCE_SINCE,OTHER_PAYMENT_PLANS
225,46570,15,Vehicle,3,None,good,733,0.00,242.00,1,Vehicle,own,skilled,2,30,M,Single,1,2,none
18,80720,30,Business,2,None,good,204,-97.60,0.00,3,Vehicle,own,skilled,1,25,M,Single,1,3,bank
146,35660,48,Business,4,None,good,785,1108.00,4963.00,1,Vehicle,own,skilled,5,30,M,Single,1,2,none
203,51170,27,Business,3,None,good,653,0.00,338.00,2,Vehicle,own,skilled,6,26,M,Single,1,4,none
98,26220,18,Business,4,None,good,694,673.00,2733.00,1,Vehicle,own,skilled,3,34,M,Single,1,4,none
48,13520,6,Vehicle,1,None,good,700,-600.79,6800.96,1,Investments,rent,unemployed,0,23,F,Married,1,2,none
141,7090,6,Vehicle,2,None,good,708,3938.00,10801.00,1,Home,own,unemployed,1,27,M,Married,1,2,none
68,10070,12,Vehicle,4,None,good,686,990.00,12944.00,1,Home,own,skilled,1,22,M,Married,1,1,none
31,19130,18,Business,3,None,good,701,1266.00,16623.00,1,Home,own,skilled,1,36,M,Married,1,3,bank
61,13910,9,Business,2,None,good,708,363.00,110.00,1,Home,own,skilled,3,27,M,Married,1,1,bank
244,11850,12,Business,3,None,good,303,0.00,756.00,2,Home,own,skilled,3,27,F,Married,1,2,none
95,13180,12,Vehicle,4,None,good,724,394.00,14972.00,1,Home,own,skilled,11,54,M,Single,1,4,none
92,14090,12,Vehicle,4,None,good,319,-351.50,352.00,1,Home,own,skilled,23,54,M,Single,1,3,none
180,5710,21,Vehicle,4,None,good,432,-911.02,979.00,2,Home,own,skilled,9,65,M,Single,1,4,none
86,14120,12,Business,4,Guarantor,good,475,0.00,480.00,2,Home,own,highly skilled,1,29,F,Married,1,2,none
100,70570,20,Vehicle,3,None,good,593,1599.00,0.00,2,Investments,rent,highly skilled,5,36,M,Single,2,4,bank
120,23660,12,Vehicle,3,None,good,337,1969.00,7333.41,1,Vehicle,own,highly skilled,5,36,M,Divorced,1,3,none
46,13930,11,Vehicle,4,None,good,322,0.00,628.00,2,Vehicle,own,highly skilled,1,35,F,Married,1,4,none
129,18600,12,Vehicle,4,None,good,525,737.00,761.00,2,Vehicle,own,highly skilled,0,34,M,Single,1,2,none
73,11640,8,Other,3,None,good,462,-770.18,832.00,2,None,free,highly skilled,22,51,M,Single,2,4,bank
76,15260,12,Vehicle,4,None,good,484,-448.90,885.00,2,None,free,highly skilled,9,66,M,Single,1,4,none
164,73080,10,Vehicle,2,None,good,719,1633.00,156.00,1,None,free,highly skilled,0,70,M,Single,1,4,bank
89,22490,18,Vehicle,4,None,good,725,-946.70,4515.00,1,Vehicle,own,highly skilled,4,30,M,Single,2,3,none
8,69480,36,Vehicle,2,None,good,677,696.00,665.00,1,Vehicle,rent,highly skilled,1,35,M,Single,1,2,none
155,69670,24,Business,4,None,good,662,696.00,3213.00,1,Vehicle,rent,highly skilled,4,36,M,Single,1,4,none
246,12580,24,Business,4,None,good,689,0.00,113.00,1,Home,own,skilled,6,25,M,Single,1,1,none
224,29780,24,Business,4,None,good,658,0.00,0.00,2,Home,own,skilled,2,32,M,Single,2,4,none
84,17550,24,Other,4,Guarantor,good,727,-376.12,713.00,1,Home,own,unskilled,15,58,F,Married,1,4,none
56,7830,6,Vehicle,1,Guarantor,good,766,0.00,0.00,1,Home,own,unskilled,1,26,M,Single,2,2,stores
34,12640,12,Business,4,None,good,518,0.00,0.00,1,None,rent,unskilled,8,57,M,Single,1,4,none
216,9320,6,Tuition,1,None,good,323,1091.00,0.00,2,Investments,own,unskilled,4,39,F,Married,1,3,none
83,15680,18,Business,3,None,good,738,0.00,4630.00,1,Investments,rent,unskilled,3,24,F,Married,1,4,none
49,72280,11,Vehicle,1,None,good,364,0.00,373.00,2,Investments,own,unskilled,3,39,M,Single,1,4,none
79,94360,54,Vehicle,2,None,good,202,0.00,0.00,1,Investments,own,unskilled,3,39,M,Single,2,2,none
158,3390,12,Tuition,4,None,good,740,-2.77,427.00,1,Vehicle,own,unskilled,16,45,M,Married,1,1,bank
209,65680,24,Business,2,None,good,722,-198.58,454.00,1,Vehicle,own,unskilled,2,21,M,Married,1,2,stores
6,90550,36,Tuition,2,None,good,737,0.00,0.00,1,None,free,unskilled,1,35,M,Single,2,4,none
232,25070,9,Vehicle,2,None,good,680,0.00,9419.16,1,None,free,unskilled,12,51,M,Single,1,4,none
154,77580,24,Vehicle,2,None,good,344,1082.00,10903.00,1,None,rent,skilled,24,42,F,Married,1,4,none
110,14100,14,Business,1,None,good,739,238.00,5175.21,1,Home,own,skilled,23,41,M,Married,1,2,none
59,19610,18,Vehicle,3,None,good,732,3809.00,258.00,1,Vehicle,own,highly skilled,13,31,F,Married,1,2,none
52,59650,27,Vehicle,1,None,good,645,1714.00,689.00,2,Vehicle,own,highly skilled,15,33,M,Single,1,2,none
206,106230,30,Vehicle,3,None,good,300,-475.93,696.00,3,None,free,highly skilled,22,40,M,Single,2,4,none
101,14690,24,Vehicle,4,None,good,702,0.00,3358.00,1,Home,rent,unskilled,25,43,M,Married,1,4,none
202,11680,12,Vehicle,4,None,good,733,-835.31,322.00,1,Home,own,unskilled,3,27,M,Married,1,3,none
251,6660,6,Vehicle,3,None,good,456,-370.61,12839.00,2,Home,own,unskilled,6,39,F,Married,1,4,none
74,59540,42,Business,2,None,good,313,1333.00,459.00,2,Home,own,unskilled,4,41,F,Married,1,1,bank
3,20960,12,Tuition,2,None,good,402,0.00,367.00,1,Home,own,unskilled,6,49,M,Single,2,3,none
205,14950,12,Vehicle,4,None,good,508,0.00,109.00,2,Home,own,unskilled,17,38,M,Single,2,1,none
23,22410,10,Vehicle,1,None,good,575,-244.21,456.00,2,Home,rent,unskilled,1,48,M,Single,2,3,none
113,62600,18,Vehicle,3,None,good,697,581.00,607.00,1,Home,rent,unskilled,4,28,M,Single,1,3,none
130,34990,12,Vehicle,3,Co-Applicant,bad,392,-102.45,203.00,2,Home,own,skilled,2,29,F,Married,1,2,none
253,21500,30,Vehicle,4,Guarantor,bad,732,108.00,270.00,1,None,own,skilled,1,24,F,Married,1,2,bank
30,68360,60,Business,3,None,bad,600,-693.60,617.00,2,None,own,skilled,25,63,M,Single,1,4,none
96,159450,54,Business,3,None,bad,267,916.00,397.00,1,None,rent,skilled,1,58,M,Single,1,4,none
12,43080,48,Business,3,None,bad,714,-727.52,129.00,1,Investments,rent,skilled,1,24,F,Married,1,4,none
175,34140,21,Tuition,2,None,bad,601,-745.81,285.00,2,Investments,own,skilled,1,26,M,Single,1,1,none
132,68870,36,Tuition,4,None,bad,584,-636.74,519.00,1,Investments,own,skilled,2,29,M,Single,1,3,stores
213,52930,27,Business,2,None,bad,210,-136.95,827.00,2,Investments,own,skilled,0,50,M,Single,1,4,stores
181,95720,36,Business,1,None,bad,595,0.00,696.00,2,Vehicle,own,skilled,1,28,M,Divorced,1,1,none
11,12950,12,Vehicle,3,None,bad,695,1288.00,668.00,1,Vehicle,rent,skilled,1,25,F,Married,1,1,none
171,9500,15,Vehicle,4,None,bad,254,-643.64,56.00,2,Vehicle,rent,skilled,7,33,M,Single,2,3,none
88,126120,36,Tuition,1,None,bad,719,684.00,3533.00,1,None,free,skilled,3,47,M,Single,2,4,none
69,18190,36,Tuition,4,None,bad,730,0.00,695.00,1,None,free,skilled,1,37,M,Single,1,4,stores
55,22250,36,Vehicle,4,None,bad,611,593.00,318.00,2,None,free,skilled,24,57,M,Single,1,4,bank
5,48700,24,Vehicle,3,None,bad,661,-917.86,181.00,2,None,free,skilled,3,53,M,Single,2,4,none
64,144210,48,Business,2,None,bad,292,1497.00,140.00,1,Vehicle,own,skilled,3,25,M,Single,1,2,none
193,39150,27,Business,4,None,bad,688,0.00,172.00,1,Vehicle,own,skilled,2,36,M,Single,2,2,none
237,145550,6,Vehicle,1,None,bad,732,1615.00,0.00,1,Investments,own,unemployed,0,23,M,Single,1,2,none
114,78550,36,Vehicle,4,None,bad,380,0.00,125.00,2,Home,own,skilled,3,25,F,Married,1,2,stores
106,119380,24,Other,2,Co-Applicant,bad,421,397.00,73.00,2,Vehicle,own,highly skilled,2,39,M,Single,2,3,none
191,45910,24,Business,2,None,bad,730,0.00,15278.00,3,Investments,own,highly skilled,3,54,M,Single,1,3,none
10,52340,30,Vehicle,4,None,bad,531,1361.00,369.00,2,Vehicle,own,highly skilled,0,28,M,Married,1,2,none
187,51290,9,Vehicle,2,None,bad,760,501.00,942.00,1,None,free,highly skilled,14,74,F,Married,2,4,bank
19,125790,24,Vehicle,4,None,bad,705,1700.00,440.00,1,None,free,highly skilled,15,44,F,Married,1,2,none
63,19530,36,Business,4,None,bad,220,876.00,578.00,1,None,free,highly skilled,14,61,M,Single,1,4,none
176,74850,30,Vehicle,4,None,bad,785,0.00,0.00,1,Home,own,highly skilled,0,53,F,Married,1,1,bank
214,19080,30,Business,4,None,bad,585,4543.00,927.00,1,Home,own,highly skilled,24,66,M,Single,1,4,none
183,16470,21,Vehicle,4,None,bad,763,-577.49,0.00,2,Investments,own,unskilled,1,40,M,Single,2,2,none
238,27670,21,Business,4,None,bad,675,209.00,2357.00,2,Vehicle,rent,unskilled,13,61,M,Divorced,1,2,bank
14,11990,24,Vehicle,4,None,bad,371,-754.74,447.00,2,Vehicle,own,unskilled,23,60,M,Single,1,4,none
45,61430,48,Vehicle,4,None,bad,364,-941.22,540.00,2,None,free,unskilled,10,58,F,Married,1,4,stores
192,38440,48,Business,4,None,bad,218,1666.00,2932.00,1,None,free,unskilled,5,34,M,Single,2,4,none
204,9020,12,Tuition,4,None,bad,673,-162.85,905.00,1,Investments,rent,skilled,4,22,M,Married,1,4,none
241,9150,24,Vehicle,4,None,bad,692,-685.73,0.00,1,Vehicle,own,skilled,13,31,F,Married,1,2,bank
185,8840,18,Vehicle,4,None,bad,392,977.00,865.00,1,Vehicle,own,skilled,20,38,M,Single,2,4,bank
243,46050,48,Vehicle,3,None,bad,267,-401.95,717.00,2,None,free,skilled,8,26,M,Single,2,4,none
170,19350,24,Business,4,None,bad,416,539.00,630.00,2,Home,own,skilled,16,34,M,Divorced,1,4,none
75,19770,36,Tuition,4,None,bad,687,-813.83,0.00,1,None,own,highly skilled,24,42,M,Single,1,4,none
107,64580,18,Vehicle,2,None,bad,795,0.00,705.00,2,None,own,highly skilled,25,43,M,Single,2,4,bank
196,15010,9,Tuition,2,None,bad,504,196.00,218.00,2,Vehicle,own,highly skilled,25,43,F,Married,1,3,none
157,12880,9,Repairs,3,Guarantor,good,551,-207.52,3735.00,2,Home,own,skilled,12,48,M,Single,2,4,none
66,51900,27,Repairs,4,None,good,689,0.00,0.00,4,Investments,own,skilled,12,48,M,Single,2,4,none
226,26130,36,Repairs,4,None,good,274,0.00,217.00,2,Vehicle,own,skilled,2,27,M,Single,1,2,none
43,62040,18,Repairs,2,None,good,610,561.00,967.00,1,Home,own,unskilled,2,44,M,Single,2,4,none
128,6390,12,Repairs,4,None,bad,738,1093.00,83.00,1,Vehicle,own,skilled,1,30,M,Single,1,2,none
90,11080,12,Repairs,4,None,bad,272,-798.37,333.00,2,Home,own,skilled,6,28,M,Single,1,3,none
118,21320,10,Consumer Goods,2,Co-Applicant,good,501,-649.38,0.00,2,Home,rent,skilled,1,27,F,Married,1,3,none
50,20730,12,Consumer Goods,4,Co-Applicant,good,681,0.00,2106.00,1,Home,own,skilled,2,28,F,Married,1,2,none
240,25220,30,Consumer Goods,1,Guarantor,good,679,-920.82,126.00,1,Investments,own,skilled,21,39,M,Single,2,3,none
149,53710,36,Consumer Goods,3,Guarantor,good,432,-346.26,639.00,2,Investments,own,skilled,2,28,M,Single,1,2,none
62,15370,15,Consumer Goods,4,Guarantor,good,330,1050.00,0.00,2,Home,own,skilled,18,50,M,Single,1,4,none
139,27280,15,Consumer Goods,4,Guarantor,good,419,820.00,0.00,3,Home,own,skilled,4,35,M,Single,1,2,bank
174,14140,8,Consumer Goods,4,Guarantor,good,732,1071.00,341.00,1,Home,own,skilled,3,33,M,Single,1,2,none
233,21410,12,Consumer Goods,3,None,good,734,0.00,3389.00,1,None,own,skilled,6,35,M,Single,1,1,none
80,38320,30,Consumer Goods,2,None,good,717,588.00,98.00,1,Investments,own,skilled,1,22,M,Married,1,1,none
145,22880,21,Consumer Goods,4,None,good,517,0.00,386.00,1,Investments,own,skilled,1,23,F,Married,1,4,none
87,12950,18,Consumer Goods,4,None,good,305,408.00,383.00,2,Investments,own,skilled,1,27,F,Married,1,1,none
65,31810,24,Consumer Goods,4,None,good,715,0.00,757.00,1,Investments,own,skilled,1,26,F,Married,1,4,none
109,77210,24,Consumer Goods,1,None,good,725,-109.61,0.00,1,Investments,own,skilled,1,30,F,Married,1,2,none
169,39720,24,Consumer Goods,2,None,good,710,0.00,962.00,1,Investments,rent,skilled,4,25,F,Married,1,4,none
239,12910,12,Consumer Goods,4,None,good,552,0.00,715.00,2,Investments,own,skilled,2,35,F,Married,1,2,none
7,28350,24,Consumer Goods,3,None,good,715,0.00,9062.49,1,Investments,own,skilled,22,53,M,Single,1,4,none
82,12130,15,Consumer Goods,4,None,good,738,0.00,8068.25,1,Investments,own,skilled,25,47,M,Single,1,3,stores
17,24240,24,Consumer Goods,4,None,good,549,0.00,0.00,2,Investments,own,skilled,15,53,M,Single,1,4,none
208,14240,12,Consumer Goods,4,None,good,471,904.00,831.00,1,Investments,own,skilled,5,26,M,Single,1,3,none
242,15950,6,Consumer Goods,3,None,good,681,0.00,959.00,1,Investments,own,skilled,6,51,M,Single,2,2,none
163,12620,15,Consumer Goods,4,None,good,730,0.00,5507.38,2,Investments,own,skilled,6,36,M,Single,1,3,none
78,47710,11,Consumer Goods,2,None,good,666,502.00,770.00,1,Investments,own,skilled,6,51,M,Single,1,4,none
254,41510,24,Consumer Goods,2,None,good,641,0.00,4420.00,2,Investments,own,skilled,3,35,M,Single,1,3,none
186,13600,15,Consumer Goods,4,None,good,326,0.00,566.00,2,Investments,own,skilled,1,31,M,Single,1,2,none
152,19240,10,Consumer Goods,1,None,good,736,0.00,203.00,1,Investments,own,skilled,2,38,M,Single,1,4,none
25,20690,10,Consumer Goods,2,None,good,445,0.00,0.00,2,Vehicle,own,skilled,1,26,M,Married,1,1,none
177,25770,12,Consumer Goods,2,None,good,718,-297.34,898.00,1,Vehicle,own,skilled,2,42,M,Divorced,1,1,none
42,11580,12,Consumer Goods,3,None,good,705,313.00,9401.01,1,Vehicle,own,skilled,2,26,M,Divorced,1,1,none
67,21710,12,Consumer Goods,2,None,good,689,0.00,430.00,1,Vehicle,own,skilled,1,29,F,Married,1,2,bank
190,32440,18,Consumer Goods,1,None,good,204,367.00,598.00,2,Vehicle,own,skilled,3,33,F,Married,1,4,bank
58,95660,36,Consumer Goods,2,None,good,402,0.00,369.00,2,Vehicle,own,skilled,1,31,F,Married,1,2,stores
197,13820,6,Consumer Goods,1,None,good,353,0.00,813.00,2,Vehicle,own,skilled,1,28,F,Married,1,1,none
13,15670,12,Consumer Goods,1,None,good,715,1535.00,278.00,1,Vehicle,own,skilled,3,22,F,Married,1,1,none
70,23940,36,Consumer Goods,4,None,good,720,0.00,0.00,1,Vehicle,own,skilled,3,25,F,Married,1,4,none
4,78820,42,Consumer Goods,2,Guarantor,good,676,-890.01,407.00,1,Investments,free,skilled,5,45,M,Single,2,4,none
151,13460,6,Consumer Goods,2,None,good,701,0.00,4161.00,1,None,free,skilled,10,42,M,Single,2,4,bank
230,31490,24,Consumer Goods,4,None,good,691,-998.79,188.00,1,None,free,skilled,1,22,M,Single,1,1,bank
134,19840,18,Consumer Goods,4,None,good,679,0.00,283.00,2,None,free,skilled,2,47,M,Single,1,4,bank
150,15820,18,Consumer Goods,4,None,good,576,0.00,11877.00,2,Vehicle,own,skilled,13,46,M,Single,1,4,none
178,3380,6,Consumer Goods,4,None,good,373,-58.92,9386.66,2,Vehicle,own,skilled,13,52,M,Single,1,4,none
20,34300,24,Consumer Goods,3,None,good,693,0.00,8947.83,1,Vehicle,own,skilled,8,31,M,Single,2,2,none
47,22990,36,Consumer Goods,4,None,good,710,0.00,9915.43,1,Vehicle,own,skilled,20,39,M,Single,1,4,none
215,33420,36,Consumer Goods,4,None,good,368,0.00,0.00,1,Vehicle,own,skilled,11,51,M,Single,1,2,none
104,19190,9,Consumer Goods,4,None,good,318,891.00,369.00,1,Vehicle,rent,skilled,6,35,M,Single,1,3,none
102,23230,36,Consumer Goods,4,None,good,688,73.00,866.00,1,Vehicle,rent,skilled,4,24,M,Single,1,4,none
255,20300,9,Consumer Goods,2,None,good,735,1251.00,0.00,1,Vehicle,own,skilled,4,24,M,Single,1,1,none
32,40200,24,Consumer Goods,2,None,good,673,-316.82,944.00,1,Vehicle,own,skilled,3,27,M,Single,1,2,stores
39,12250,10,Consumer Goods,2,None,good,718,2964.00,322.00,1,Vehicle,own,skilled,3,37,M,Single,1,2,none
153,58480,36,Consumer Goods,4,None,good,694,4565.00,151.00,1,Vehicle,own,skilled,2,24,M,Single,1,1,none
53,12620,12,Consumer Goods,3,None,good,675,0.00,447.00,1,Vehicle,own,skilled,3,25,M,Single,1,2,none
166,29780,6,Consumer Goods,1,None,good,692,0.00,9735.27,1,Vehicle,own,skilled,1,32,M,Single,1,2,none
115,16800,12,Consumer Goods,3,None,good,719,-923.32,8050.44,1,Home,own,skilled,12,35,M,Married,1,1,none
194,21080,6,Consumer Goods,2,None,good,678,0.00,412.00,1,Home,rent,skilled,6,29,M,Married,1,2,none
168,15770,11,Consumer Goods,4,None,good,735,511.00,19956.00,1,Home,own,skilled,1,20,F,Married,1,1,none
28,4090,12,Consumer Goods,3,None,good,777,3735.00,18925.00,2,Home,rent,skilled,3,42,F,Married,1,3,none
172,7630,12,Consumer Goods,4,None,good,725,0.00,794.00,1,Home,own,skilled,3,26,F,Married,1,1,none
103,9320,6,Consumer Goods,3,None,good,593,0.00,27.00,1,Home,own,skilled,1,24,F,Married,1,2,none
142,47950,36,Consumer Goods,4,None,good,671,46.00,212.00,1,None,own,highly skilled,1,30,F,Married,1,1,none
35,14740,12,Consumer Goods,4,None,good,714,2127.00,249.00,1,Investments,own,highly skilled,1,33,F,Married,1,1,bank
41,23330,30,Consumer Goods,4,None,good,682,0.00,7001.95,1,Vehicle,own,highly skilled,11,30,M,Single,1,2,bank
179,19630,12,Consumer Goods,4,None,good,690,0.00,295.00,2,Vehicle,rent,highly skilled,5,31,M,Single,2,2,none
143,34160,27,Consumer Goods,3,None,good,686,-142.17,834.00,1,Vehicle,own,highly skilled,3,27,M,Single,1,2,none
161,28720,24,Consumer Goods,3,None,good,503,0.00,1256.00,1,Home,own,skilled,15,36,M,Single,2,4,none
91,6180,12,Consumer Goods,4,None,good,419,0.00,454.00,1,Home,own,skilled,18,56,M,Single,1,4,none
207,19350,12,Consumer Goods,4,None,good,464,0.00,987.00,3,Home,own,skilled,19,43,M,Single,1,4,none
247,7170,12,Consumer Goods,4,None,good,376,0.00,964.00,3,Home,own,skilled,18,52,M,Single,1,4,none
1,11690,6,Consumer Goods,4,None,good,340,-824.17,0.00,2,Home,own,skilled,24,67,M,Single,1,4,none
116,35780,48,Consumer Goods,4,None,good,479,0.00,0.00,1,Home,own,skilled,20,47,M,Single,1,1,none
184,37770,24,Consumer Goods,4,None,good,335,0.00,17822.00,1,Home,own,skilled,2,50,M,Single,1,4,none
218,39130,36,Consumer Goods,2,None,good,681,2432.00,825.00,1,Home,own,skilled,3,23,M,Single,1,2,none
249,19250,24,Consumer Goods,2,None,good,732,2949.00,33.00,1,Home,own,skilled,1,26,M,Single,1,2,none
223,7070,12,Consumer Goods,4,None,good,678,0.00,311.00,2,Home,own,skilled,1,30,M,Single,1,2,bank
40,4580,9,Consumer Goods,4,None,good,687,296.00,546.00,1,Home,own,skilled,3,24,M,Single,1,3,none
22,26470,6,Consumer Goods,2,None,good,731,-786.08,9410.91,1,Home,rent,skilled,3,44,M,Single,2,3,none
211,30740,9,Consumer Goods,1,None,good,539,0.00,0.00,2,Home,own,skilled,1,33,M,Single,2,2,none
221,6250,12,Consumer Goods,4,Guarantor,good,739,138.00,277.00,1,Home,own,unskilled,1,26,M,Married,1,1,bank
234,8660,18,Consumer Goods,4,Guarantor,good,704,1754.00,343.00,1,Home,own,unskilled,1,25,M,Married,1,2,none
72,7300,7,Consumer Goods,4,None,good,362,0.00,0.00,2,Investments,rent,unskilled,10,46,M,Single,1,2,none
133,27080,15,Consumer Goods,2,None,good,677,0.00,131.00,2,Investments,own,unskilled,1,27,M,Single,1,3,bank
51,23330,24,Consumer Goods,4,None,good,661,772.00,0.00,1,Investments,own,unskilled,1,29,M,Single,1,2,bank
140,18810,12,Consumer Goods,2,None,good,674,4455.00,850.00,1,Vehicle,rent,unskilled,3,44,F,Married,1,2,none
252,22510,12,Consumer Goods,1,None,good,720,2166.00,800.00,1,Vehicle,own,unskilled,2,46,F,Married,1,2,none
136,12400,12,Consumer Goods,4,None,good,520,0.00,0.00,2,Home,own,skilled,21,39,F,Married,1,2,none
135,101440,60,Consumer Goods,2,None,good,716,0.00,4609.00,1,Home,own,skilled,4,22,F,Married,1,4,none
99,23370,36,Consumer Goods,4,None,good,337,1392.00,667.00,1,Home,own,skilled,25,43,M,Single,1,4,none
27,4260,6,Consumer Goods,4,None,good,251,0.00,44.00,1,Vehicle,own,unskilled,25,43,M,Married,1,4,none
127,7010,12,Consumer Goods,4,None,good,673,-364.29,535.00,1,Home,own,unskilled,3,40,M,Married,1,2,none
9,30590,12,Consumer Goods,2,None,good,707,0.00,16077.00,1,Home,own,unskilled,4,61,M,Divorced,1,4,none
219,30210,24,Consumer Goods,2,None,good,678,-656.14,885.00,1,Home,rent,unskilled,1,24,M,Divorced,1,2,none
212,38350,36,Consumer Goods,2,None,good,695,0.00,0.00,1,Home,own,unskilled,15,45,F,Married,1,4,none
85,23150,10,Consumer Goods,3,None,good,691,-202.32,966.00,1,Home,own,unskilled,20,52,M,Single,1,4,none
235,15440,4,Consumer Goods,2,None,good,323,0.00,873.00,3,Home,own,unskilled,4,42,M,Single,2,1,none
26,13740,6,Consumer Goods,1,None,good,738,-183.91,431.00,1,Home,own,unskilled,2,36,M,Single,1,2,bank
123,17680,12,Consumer Goods,3,None,good,671,0.00,229.00,1,Home,rent,unskilled,3,24,M,Single,1,2,none
160,18980,6,Consumer Goods,1,None,good,368,0.00,0.00,2,Home,own,unskilled,3,34,M,Single,2,2,none
256,74180,60,Consumer Goods,1,None,good,668,775.00,0.00,1,Home,own,unskilled,2,27,M,Single,1,1,none
227,109610,48,Consumer Goods,1,Co-Applicant,bad,730,1331.00,17852.00,2,None,own,skilled,6,27,M,Single,1,2,bank
250,4330,18,Consumer Goods,3,Co-Applicant,bad,674,0.00,934.00,1,Home,rent,skilled,0,22,F,Married,1,4,none
38,21000,18,Consumer Goods,4,Co-Applicant,bad,721,3279.00,863.00,1,Home,own,skilled,1,37,M,Single,1,2,stores
195,30310,45,Consumer Goods,4,Guarantor,bad,673,1906.00,3948.00,1,Investments,rent,skilled,1,21,M,Single,1,4,none
167,11310,18,Consumer Goods,4,None,bad,737,-694.88,626.00,1,Vehicle,own,skilled,0,33,F,Married,1,2,none
198,9510,12,Consumer Goods,4,None,bad,704,409.00,3176.00,4,Vehicle,rent,skilled,1,27,F,Married,1,4,bank
81,59430,24,Consumer Goods,1,None,bad,674,0.00,0.00,2,Vehicle,own,skilled,1,44,F,Married,1,1,none
119,42810,33,Consumer Goods,1,None,bad,390,-428.99,9529.45,2,Vehicle,own,skilled,3,23,F,Married,1,4,none
