session_id,session_duration_seconds,pages_viewed,items_in_cart,cart_total_value,unique_categories_viewed,has_discount_code,is_returning_customer,device_type,traffic_source,hour_of_day,day_of_week,previous_purchases_count,avg_time_per_page_seconds,added_to_wishlist,used_search,converted
CART_00083,1631,5,3,165.57,5,1,0,desktop,organic,18,1,0,326.2,0,0,0
CART_00084,286,5,1,156.64,3,0,1,mobile,email,0,1,50,57.2,1,0,1
CART_00085,882,24,1,23.65,3,1,0,mobile,organic,11,4,0,36.75,1,1,0
CART_00086,1087,22,3,494.83,3,0,0,mobile,paid,15,6,0,49.41,0,1,0
CART_00087,323,20,1,28.33,1,1,0,mobile,email,22,2,0,16.15,0,0,1
CART_00088,1766,4,2,291.72,4,0,0,mobile,paid,6,3,0,441.5,0,0,0
CART_00089,1382,11,3,199.71,3,0,1,desktop,organic,2,0,22,125.64,1,0,0
CART_00090,1170,18,1,24.9,3,0,1,desktop,organic,13,6,7,65.0,0,0,0
CART_00091,1007,22,2,100.2,2,0,1,desktop,organic,3,6,19,45.77,0,0,1
CART_00092,1160,21,4,464.96,1,0,1,desktop,email,0,1,28,55.24,0,0,1
CART_00093,840,22,1,38.64,1,1,0,tablet,organic,23,4,0,38.18,0,1,1
CART_00094,1241,19,3,429.53,1,0,0,mobile,organic,1,5,0,65.32,1,0,1
CART_00095,253,17,2,101.14,3,0,0,mobile,paid,15,4,0,14.88,0,0,0
CART_00096,301,25,1,170.98,3,0,1,tablet,organic,13,1,26,12.04,1,1,1
CART_00097,1784,13,3,220.31,5,1,0,mobile,paid,10,4,0,137.23,1,0,0
CART_00098,1661,6,2,348.85,4,0,0,desktop,organic,13,6,0,276.83,0,1,1
CART_00099,702,8,4,552.23,2,1,0,mobile,organic,6,6,0,87.75,0,1,1
CART_00100,375,7,1,39.16,3,1,0,desktop,direct,20,3,0,53.57,0,1,1
CART_00101,681,20,5,605.47,6,0,0,desktop,direct,20,2,0,34.05,0,1,0
CART_00102,1723,12,2,42.41,3,1,0,mobile,organic,19,4,0,143.58,0,0,0
CART_00103,1190,26,5,446.03,6,1,0,desktop,direct,1,3,0,45.77,0,1,1
CART_00104,1469,8,2,86.94,4,0,0,mobile,direct,11,2,0,183.62,0,0,0
CART_00105,695,3,3,365.42,1,0,1,mobile,paid,21,4,50,231.67,0,1,0
CART_00106,822,22,1,123.25,2,0,1,desktop,email,12,5,38,37.36,0,1,0
CART_00107,211,17,3,384.28,5,0,0,desktop,direct,9,1,0,12.41,0,1,0
CART_00108,1634,28,1,27.73,1,0,1,mobile,organic,16,0,50,58.36,0,0,0
CART_00109,1599,23,1,44.84,3,0,0,desktop,paid,13,2,0,69.52,1,1,0
CART_00110,653,8,3,160.83,4,0,1,desktop,direct,18,3,29,81.62,1,0,1
CART_00111,303,20,1,47.95,3,1,1,mobile,paid,3,5,25,15.15,0,1,0
CART_00112,1721,5,1,164.38,3,1,0,mobile,direct,11,0,0,344.2,0,0,0
CART_00113,222,30,1,19.65,3,0,1,mobile,email,9,6,24,7.4,0,1,1
CART_00114,544,1,2,328.93,2,0,0,desktop,paid,16,3,0,544.0,0,0,1
CART_00115,247,3,2,235.53,4,0,1,mobile,organic,7,5,20,82.33,1,1,1
CART_00116,1092,3,2,249.24,3,1,0,desktop,organic,16,4,0,364.0,0,1,1
CART_00117,1634,12,1,138.31,1,0,0,mobile,organic,18,5,0,136.17,0,0,0
CART_00118,1444,15,1,143.56,3,0,1,mobile,direct,14,0,23,96.27,0,1,1
CART_00119,1132,27,1,80.71,3,0,1,desktop,organic,11,6,13,41.93,0,1,0
CART_00120,920,24,1,161.77,3,0,0,mobile,organic,11,6,0,38.33,1,0,0
CART_00121,621,18,2,301.37,3,1,0,desktop,organic,14,4,0,34.5,0,1,0
CART_00122,582,14,4,292.69,6,0,1,mobile,organic,20,3,29,41.57,0,1,1
CART_00123,917,26,1,115.25,1,1,0,desktop,email,11,3,0,35.27,0,0,0
CART_00124,301,19,1,140.91,3,0,1,desktop,email,3,0,10,15.84,0,1,0
CART_00125,459,15,1,57.95,3,0,0,mobile,paid,3,1,0,30.6,0,1,0
CART_00126,674,28,1,127.52,3,0,0,desktop,paid,9,6,0,24.07,1,1,0
CART_00127,1642,7,1,52.0,2,1,0,desktop,organic,18,2,0,234.57,0,1,0
CART_00128,1492,23,1,80.7,3,0,0,mobile,email,2,1,0,64.87,0,0,0
CART_00129,1149,25,1,159.86,3,0,0,mobile,direct,16,6,0,45.96,0,1,1
CART_00130,601,17,6,313.22,1,0,1,mobile,organic,4,5,10,35.35,0,0,1
CART_00131,1298,22,6,242.65,6,0,0,mobile,organic,1,6,0,59.0,0,0,0
CART_00132,1328,20,1,109.4,1,0,1,desktop,organic,9,3,42,66.4,0,1,1
CART_00133,1011,14,3,123.25,4,1,0,mobile,paid,22,2,0,72.21,0,1,0
CART_00134,515,11,1,107.67,3,1,0,tablet,organic,1,2,0,46.82,0,1,0
CART_00135,1203,30,5,746.12,6,0,0,mobile,email,16,3,0,40.1,0,1,0
CART_00136,742,19,2,109.44,1,1,1,mobile,organic,20,5,2,39.05,0,0,1
CART_00137,845,25,5,675.19,3,1,0,desktop,paid,11,4,0,33.8,1,0,0
CART_00138,283,4,8,1018.13,1,0,1,desktop,organic,11,6,29,70.75,0,1,1
CART_00139,990,26,1,132.74,3,0,0,mobile,organic,10,4,0,38.08,0,1,0
CART_00140,1023,18,1,151.67,3,0,1,desktop,organic,10,5,40,56.83,0,1,1
CART_00141,991,20,4,475.31,3,0,0,mobile,email,18,1,0,49.55,0,0,0
CART_00142,1702,5,2,307.59,4,1,0,mobile,paid,6,0,0,340.4,0,0,0
CART_00143,1757,16,2,231.79,4,0,0,mobile,organic,17,2,0,109.81,0,1,0
CART_00144,745,18,2,205.93,4,0,0,mobile,email,22,2,0,41.39,0,0,0
CART_00145,611,25,6,1062.44,6,1,1,mobile,organic,11,4,16,24.44,0,1,0
CART_00146,1696,13,3,232.95,3,0,0,mobile,organic,9,5,0,130.46,0,1,1
CART_00147,1171,9,1,151.61,3,0,0,desktop,direct,7,1,0,130.11,1,0,1
CART_00148,225,16,1,69.5,3,0,0,mobile,organic,5,3,0,14.06,1,0,0
CART_00149,1342,10,3,187.19,1,0,0,mobile,direct,17,5,0,134.2,1,0,0
CART_00150,94,30,5,220.03,4,0,0,tablet,organic,9,0,0,3.13,1,0,1
CART_00151,1093,18,1,178.2,3,0,0,mobile,email,8,1,0,60.72,1,1,0
CART_00152,624,26,1,136.54,3,0,1,mobile,organic,20,3,47,24.0,1,0,0
CART_00153,528,11,1,38.2,1,0,0,mobile,direct,10,2,0,48.0,0,0,0
CART_00154,648,15,1,125.18,2,0,0,mobile,organic,22,6,0,43.2,0,0,0
CART_00155,1551,15,6,563.4,5,0,1,mobile,organic,17,6,19,103.4,0,0,0
CART_00156,1461,17,3,305.13,3,1,1,desktop,paid,17,4,16,85.94,0,1,1
CART_00157,1214,23,2,254.5,4,1,0,mobile,email,14,1,0,52.78,0,0,0
CART_00158,541,13,4,537.36,1,0,0,mobile,paid,11,5,0,41.62,0,1,1
CART_00159,388,14,6,121.42,2,0,0,tablet,organic,13,2,0,27.71,0,0,0
CART_00160,1781,21,3,311.95,3,1,1,mobile,direct,4,5,25,84.81,0,1,0
CART_00161,1109,14,2,267.3,4,0,0,desktop,email,8,1,0,79.21,0,1,0
CART_00162,52,29,2,282.8,2,1,0,mobile,direct,19,5,0,1.79,1,1,0
CART_00163,135,25,2,278.95,2,0,1,mobile,paid,23,4,48,5.4,0,0,1
CART_00164,1087,22,1,38.64,2,0,0,desktop,organic,18,5,0,49.41,0,0,0
CART_00165,800,22,7,1192.53,5,0,0,mobile,paid,12,1,0,36.36,0,1,0
CART_00166,138,30,3,443.86,5,0,0,desktop,organic,12,1,0,4.6,0,1,1
CART_00167,125,7,1,134.56,3,0,1,tablet,direct,2,1,6,17.86,0,1,0
CART_00168,51,10,1,164.66,2,0,0,desktop,organic,15,1,0,5.1,0,1,0
CART_00169,1112,15,1,61.7,3,0,0,mobile,organic,15,3,0,74.13,0,1,1
CART_00170,113,14,5,380.83,5,0,0,mobile,direct,17,4,0,8.07,0,1,0
CART_00171,1147,16,1,152.5,3,0,0,mobile,organic,15,5,0,71.69,0,0,0
CART_00172,396,16,1,133.85,3,0,0,mobile,direct,2,6,0,24.75,0,1,0
CART_00173,467,1,1,131.68,3,0,0,mobile,direct,19,3,0,467.0,1,0,0
CART_00174,55,10,2,120.66,4,0,1,desktop,organic,5,0,35,5.5,0,0,0
CART_00175,832,26,1,73.48,1,0,0,mobile,paid,22,1,0,32.0,0,0,0
CART_00176,796,13,2,40.46,4,0,0,mobile,email,5,0,0,61.23,1,1,0
CART_00177,107,17,4,122.94,2,1,0,desktop,paid,15,2,0,6.29,0,0,1
CART_00178,52,11,1,168.25,2,0,1,desktop,paid,12,0,18,4.73,0,0,1
CART_00179,1567,13,3,312.58,5,1,0,desktop,direct,16,5,0,120.54,0,0,0
CART_00180,832,20,2,232.58,3,1,1,mobile,organic,15,1,28,41.6,0,0,1
CART_00181,624,20,3,87.42,2,0,0,mobile,direct,22,6,0,31.2,1,1,0
CART_00182,1579,12,1,65.86,3,1,0,mobile,organic,17,4,0,131.58,1,1,0
CART_00183,45,13,2,137.06,3,0,1,mobile,organic,17,1,6,3.46,0,0,0
CART_00184,910,6,1,39.08,3,0,1,mobile,organic,8,1,25,151.67,0,1,0
CART_00185,700,13,1,16.12,3,0,0,desktop,paid,13,6,0,53.85,0,1,0
CART_00186,663,16,2,259.45,2,0,0,desktop,organic,22,5,0,41.44,0,1,0
CART_00187,1174,4,4,319.34,2,0,0,mobile,organic,17,0,0,293.5,0,0,0
CART_00188,1756,27,1,129.32,3,0,0,desktop,paid,8,5,0,65.04,1,1,0
CART_00189,1057,18,2,222.14,4,0,0,mobile,paid,22,6,0,58.72,1,0,0
CART_00190,1274,21,3,220.73,1,0,0,mobile,direct,10,6,0,60.67,0,0,0
CART_00191,932,8,2,256.93,3,0,1,mobile,direct,16,1,17,116.5,0,0,1
CART_00192,310,24,1,152.17,3,0,1,mobile,email,15,2,7,12.92,0,1,1
CART_00193,66,4,1,148.68,3,0,0,desktop,organic,23,1,0,16.5,0,1,0
CART_00194,397,21,2,293.26,2,0,0,mobile,paid,19,1,0,18.9,0,1,0
CART_00195,148,26,1,131.12,3,1,0,mobile,organic,10,1,0,5.69,0,1,0
CART_00196,253,19,2,231.73,3,0,1,mobile,paid,21,5,32,13.32,0,1,0
CART_00197,394,4,1,54.36,3,0,0,desktop,direct,4,4,0,98.5,0,1,0
CART_00198,1022,6,6,261.5,3,1,1,mobile,email,1,6,41,170.33,0,1,1
CART_00199,1422,14,2,245.51,4,0,1,mobile,organic,2,4,9,101.57,0,1,1
CART_00200,1178,15,2,85.51,4,0,0,mobile,organic,18,0,0,78.53,0,1,1
CART_00201,1138,15,3,421.2,2,0,0,tablet,paid,7,2,0,75.87,1,0,0
CART_00202,1682,25,2,358.01,2,1,1,mobile,direct,22,4,17,67.28,0,0,1
CART_00203,595,18,4,436.25,5,0,1,desktop,direct,9,4,9,33.06,0,0,1
CART_00204,862,26,1,173.86,1,0,0,tablet,direct,4,1,0,33.15,0,1,1
CART_00205,1305,9,2,220.55,4,0,1,desktop,direct,2,3,16,145.0,1,0,1
CART_00206,1520,28,2,316.74,1,0,1,mobile,paid,11,6,24,54.29,0,0,1
CART_00207,600,27,1,59.31,3,0,0,mobile,paid,10,5,0,22.22,1,0,0
CART_00208,954,15,1,156.51,1,0,1,desktop,paid,4,5,41,63.6,0,0,1
CART_00209,1348,22,1,28.6,2,1,0,desktop,organic,7,3,0,61.27,0,0,0
CART_00210,931,22,1,52.32,1,1,0,mobile,paid,13,5,0,42.32,0,1,1
CART_00211,300,10,1,75.65,3,0,1,mobile,direct,21,1,25,30.0,0,1,1
CART_00212,330,24,1,50.15,3,0,0,desktop,organic,3,1,0,13.75,0,1,0
CART_00213,1340,9,1,38.07,1,1,0,mobile,email,9,6,0,148.89,0,0,0
CART_00214,625,13,2,92.25,4,1,1,desktop,organic,15,3,43,48.08,0,0,1
CART_00215,668,30,7,1244.85,2,0,0,desktop,paid,17,5,0,22.27,0,1,0
CART_00216,101,7,2,34.55,1,0,0,tablet,organic,22,4,0,14.43,0,1,0
CART_00217,654,3,2,80.38,1,0,0,mobile,paid,17,2,0,218.0,1,0,0
CART_00218,1753,24,1,130.28,2,1,0,desktop,direct,14,4,0,73.04,1,1,0
CART_00219,355,1,1,37.64,3,0,1,desktop,organic,23,2,48,355.0,0,0,1
CART_00220,1672,11,1,163.48,3,0,1,desktop,direct,18,5,50,152.0,1,0,1
CART_00221,1603,9,2,151.34,1,0,0,mobile,paid,23,4,0,178.11,0,1,1
CART_00222,1776,6,1,166.84,1,0,0,mobile,organic,13,1,0,296.0,0,0,0
CART_00223,1398,17,1,76.51,1,1,0,desktop,organic,12,0,0,82.24,0,0,0
CART_00224,430,12,1,90.36,3,0,0,desktop,organic,14,2,0,35.83,0,0,0
CART_00225,328,8,5,702.4,1,0,0,desktop,organic,20,6,0,41.0,1,1,0
CART_00226,440,4,4,539.96,5,0,1,mobile,direct,4,5,22,110.0,0,0,1
CART_00227,193,24,3,229.38,5,1,1,desktop,paid,2,4,15,8.04,1,0,1
CART_00228,824,26,1,66.98,3,0,0,tablet,organic,7,0,0,31.69,0,1,0
CART_00229,267,14,1,91.9,3,0,1,desktop,organic,14,2,50,19.07,0,1,0
CART_00230,691,28,2,100.96,2,1,1,mobile,direct,16,0,44,24.68,0,1,1
CART_00231,213,8,2,276.87,4,1,1,mobile,paid,1,6,12,26.62,0,1,1
CART_00232,1220,19,2,242.75,3,0,1,desktop,organic,6,5,13,64.21,1,0,0
CART_00233,1702,14,1,167.48,3,0,1,mobile,email,5,2,22,121.57,1,0,1
CART_00234,624,21,2,233.6,4,0,1,mobile,organic,8,3,18,29.71,0,1,1
CART_00235,1621,13,2,36.44,4,0,1,mobile,email,18,4,34,124.69,0,1,1
CART_00236,1676,2,5,717.29,4,0,1,mobile,organic,5,0,2,838.0,0,0,1
CART_00237,1199,8,1,179.4,3,0,1,desktop,email,5,1,35,149.88,0,0,0
CART_00238,1174,19,1,130.59,2,0,0,desktop,email,15,4,0,61.79,1,0,0
CART_00239,699,1,1,101.86,3,1,0,mobile,organic,10,0,0,699.0,1,0,1
CART_00240,785,3,4,628.04,6,0,0,tablet,direct,9,2,0,261.67,0,1,1
CART_00241,1440,18,2,87.49,4,0,1,desktop,email,5,3,28,80.0,0,0,1
CART_00242,1762,13,6,1029.21,5,1,0,mobile,direct,19,1,0,135.54,0,0,0
CART_00243,1322,6,1,177.09,1,0,1,mobile,direct,10,3,32,220.33,0,0,1
CART_00244,917,13,1,15.21,3,0,1,mobile,organic,12,2,45,70.54,1,1,0
CART_00245,170,15,3,156.66,1,0,1,desktop,paid,2,2,31,11.33,0,0,1
CART_00246,1008,20,7,495.33,6,1,1,mobile,email,13,1,47,50.4,0,1,1
CART_00247,596,22,5,520.6,3,1,1,mobile,paid,15,1,13,27.09,1,0,1
CART_00248,443,1,2,95.89,2,0,1,mobile,direct,3,2,6,443.0,0,1,1
CART_00249,801,12,2,157.88,3,1,0,desktop,organic,8,1,0,66.75,1,1,0
CART_00250,1128,26,1,125.24,3,0,0,mobile,direct,12,6,0,43.38,0,0,0
CART_00251,181,10,2,107.76,4,0,0,desktop,email,16,6,0,18.1,0,1,0
CART_00252,453,6,2,343.19,2,1,0,mobile,email,13,1,0,75.5,0,0,0
CART_00253,198,3,5,829.19,4,0,0,desktop,organic,16,3,0,66.0,0,0,0
CART_00254,1180,5,2,166.77,4,0,1,desktop,paid,3,4,45,236.0,0,1,0
CART_00255,1014,21,4,234.33,5,0,0,desktop,email,4,4,0,48.29,1,1,0
CART_00256,993,24,1,54.2,3,0,0,mobile,email,9,2,0,41.38,1,0,0
CART_00257,927,24,4,148.69,3,0,0,desktop,organic,6,3,0,38.62,0,0,0
CART_00258,1640,17,4,601.87,2,1,0,desktop,direct,16,4,0,96.47,0,1,1
CART_00259,427,23,2,332.95,3,0,1,desktop,organic,3,5,13,18.57,0,1,1
CART_00260,354,12,2,211.94,3,0,1,mobile,email,12,0,39,29.5,0,1,1
CART_00261,1354,9,2,253.64,4,0,0,tablet,email,21,0,0,150.44,0,0,0
CART_00262,1479,10,1,147.84,3,0,1,desktop,organic,11,3,12,147.9,0,1,1
CART_00263,1376,17,1,31.88,3,0,0,desktop,direct,21,0,0,80.94,0,1,0
CART_00264,1354,29,1,132.33,3,1,1,desktop,email,1,6,18,46.69,0,1,0
CART_00265,625,16,1,19.2,3,0,0,mobile,organic,18,5,0,39.06,0,0,0
CART_00266,1395,16,3,360.97,3,0,0,mobile,direct,17,1,0,87.19,0,0,0
CART_00267,707,22,2,331.17,4,1,0,desktop,direct,9,3,0,32.14,0,0,0
CART_00268,1215,21,1,23.86,3,0,1,desktop,paid,16,0,17,57.86,1,0,0
CART_00269,858,11,1,178.74,3,0,1,mobile,email,22,1,20,78.0,0,1,0
CART_00270,448,9,2,31.56,2,0,0,desktop,organic,2,1,0,49.78,1,0,0
CART_00271,1516,7,1,21.22,3,0,0,mobile,email,16,1,0,216.57,0,0,1
CART_00272,1050,13,1,36.27,3,0,1,mobile,direct,9,3,47,80.77,1,1,0
CART_00273,1023,29,10,715.51,3,0,0,mobile,email,12,0,0,35.28,1,0,0
CART_00274,1476,12,2,85.76,4,0,0,mobile,direct,17,4,0,123.0,0,0,1
CART_00275,929,14,1,128.81,3,1,0,desktop,direct,6,5,0,66.36,0,0,0
CART_00276,877,5,1,114.93,1,0,1,desktop,direct,3,3,27,175.4,0,1,1
CART_00277,100,6,1,82.61,3,0,1,desktop,email,10,1,17,16.67,1,0,1
CART_00278,1616,3,3,118.83,5,1,0,tablet,direct,20,1,0,538.67,0,0,0
CART_00279,615,28,4,636.93,3,0,0,mobile,organic,3,6,0,21.96,0,0,0
CART_00280,569,20,1,87.22,3,1,1,desktop,organic,12,3,9,28.45,0,1,0
CART_00281,251,6,2,322.42,2,0,1,desktop,paid,5,0,25,41.83,1,0,1
CART_00282,1272,12,1,77.66,1,0,0,desktop,direct,4,3,0,106.0,0,0,0
CART_00283,1408,28,3,51.12,5,0,1,mobile,organic,21,6,27,50.29,0,0,1
CART_00284,1379,12,3,168.05,5,0,0,desktop,organic,19,0,0,114.92,1,0,1
CART_00285,1026,25,2,84.58,3,1,0,mobile,paid,7,4,0,41.04,0,1,0
CART_00286,1040,28,4,355.75,4,0,0,mobile,paid,0,0,0,37.14,0,0,0
CART_00287,1061,10,2,234.29,4,1,1,mobile,organic,11,6,36,106.1,0,0,1
CART_00288,1486,12,2,266.5,4,1,1,mobile,direct,10,2,30,123.83,0,1,1
CART_00289,1028,6,3,67.66,2,0,0,mobile,paid,8,4,0,171.33,0,1,1
CART_00290,868,25,1,70.76,1,0,1,mobile,direct,14,3,26,34.72,0,0,0
CART_00291,906,30,2,46.03,4,0,0,mobile,paid,5,5,0,30.2,0,0,0
CART_00292,807,17,2,321.29,4,0,0,mobile,organic,8,3,0,47.47,0,0,0
CART_00293,1069,24,2,261.0,3,0,0,mobile,organic,23,4,0,44.54,0,1,0
CART_00294,1351,23,5,184.45,2,0,1,desktop,direct,3,6,40,58.74,0,1,1
CART_00295,1113,27,2,276.8,3,0,0,desktop,direct,3,0,0,41.22,0,1,0
CART_00296,319,9,1,62.29,1,0,1,mobile,direct,1,2,4,35.44,0,0,0
CART_00297,1066,8,3,322.83,5,0,1,desktop,email,12,3,44,133.25,0,0,0
CART_00298,1799,20,1,56.47,3,0,0,mobile,paid,20,2,0,89.95,0,0,0
CART_00299,1418,6,7,444.78,1,1,0,desktop,direct,12,0,0,236.33,1,1,0
CART_00300,337,23,1,69.54,1,1,0,mobile,paid,20,4,0,14.65,0,1,0
CART_00301,1086,6,3,305.07,1,0,1,desktop,organic,12,0,37,181.0,1,1,1
CART_00302,1106,20,1,171.8,3,0,0,desktop,organic,0,0,0,55.3,0,0,0
CART_00303,677,22,2,346.44,4,0,0,tablet,paid,17,5,0,30.77,0,1,0
